name,height,weight,base_experience,height_m,weight_kg,bmi
emboar,16,1500,238.0,1.6,150.0,58.593749999999986
oshawott,5,59,62.0,0.5,5.9,23.6
dewott,8,245,145.0,0.8,24.5,38.28124999999999
samurott,15,946,238.0,1.5,94.6,42.044444444444444
patrat,5,116,51.0,0.5,11.6,46.4
watchog,11,270,147.0,1.1,27.0,22.314049586776857
lillipup,4,41,55.0,0.4,4.1,25.624999999999993
herdier,9,147,130.0,0.9,14.7,18.148148148148145
stoutland,12,610,225.0,1.2,61.0,42.361111111111114
purrloin,4,101,56.0,0.4,10.1,63.124999999999986
liepard,11,375,156.0,1.1,37.5,30.991735537190078
pansage,6,105,63.0,0.6,10.5,29.166666666666668
simisage,11,305,174.0,1.1,30.5,25.20661157024793
pansear,6,110,63.0,0.6,11.0,30.555555555555557
simisear,10,280,174.0,1.0,28.0,28.0
panpour,6,135,63.0,0.6,13.5,37.5
simipour,10,290,174.0,1.0,29.0,29.0
munna,6,233,58.0,0.6,23.3,64.72222222222223
musharna,11,605,170.0,1.1,60.5,49.99999999999999
pidove,3,21,53.0,0.3,2.1,23.333333333333336
tranquill,6,150,125.0,0.6,15.0,41.66666666666667
unfezant,12,290,220.0,1.2,29.0,20.13888888888889
blitzle,8,298,59.0,0.8,29.8,46.56249999999999
zebstrika,16,795,174.0,1.6,79.5,31.054687499999993
roggenrola,4,180,56.0,0.4,18.0,112.49999999999997
boldore,9,1020,137.0,0.9,102.0,125.92592592592592
gigalith,17,2600,232.0,1.7,260.0,89.96539792387544
woobat,4,21,65.0,0.4,2.1,13.124999999999998
swoobat,9,105,149.0,0.9,10.5,12.962962962962962
drilbur,3,85,66.0,0.3,8.5,94.44444444444444
excadrill,7,404,178.0,0.7,40.4,82.44897959183675
audino,11,310,390.0,1.1,31.0,25.6198347107438
timburr,6,125,61.0,0.6,12.5,34.72222222222222
gurdurr,12,400,142.0,1.2,40.0,27.77777777777778
conkeldurr,14,870,227.0,1.4,87.0,44.38775510204082
tympole,5,45,59.0,0.5,4.5,18.0
palpitoad,8,170,134.0,0.8,17.0,26.562499999999996
seismitoad,15,620,229.0,1.5,62.0,27.555555555555557
throh,13,555,163.0,1.3,55.5,32.840236686390526
sawk,14,510,163.0,1.4,51.0,26.02040816326531
sewaddle,3,25,62.0,0.3,2.5,27.77777777777778
swadloon,5,73,133.0,0.5,7.3,29.2
leavanny,12,205,225.0,1.2,20.5,14.236111111111112
venipede,4,53,52.0,0.4,5.3,33.12499999999999
whirlipede,12,585,126.0,1.2,58.5,40.625
scolipede,25,2005,218.0,2.5,200.5,32.08
cottonee,3,6,56.0,0.3,0.6,6.666666666666667
whimsicott,7,66,168.0,0.7,6.6,13.469387755102042
petilil,5,66,56.0,0.5,6.6,26.4
lilligant,11,163,168.0,1.1,16.3,13.471074380165287
basculin-red-striped,10,180,161.0,1.0,18.0,18.0
sandile,7,152,58.0,0.7,15.2,31.02040816326531
krokorok,10,334,123.0,1.0,33.4,33.4
krookodile,15,963,234.0,1.5,96.3,42.8
darumaka,6,375,63.0,0.6,37.5,104.16666666666667
darmanitan-standard,13,929,168.0,1.3,92.9,54.97041420118343
maractus,10,280,161.0,1.0,28.0,28.0
dwebble,3,145,65.0,0.3,14.5,161.11111111111111
crustle,14,2000,170.0,1.4,200.0,102.04081632653063
scraggy,6,118,70.0,0.6,11.8,32.77777777777778
scrafty,11,300,171.0,1.1,30.0,24.793388429752063
sigilyph,14,140,172.0,1.4,14.0,7.142857142857144
yamask,5,15,61.0,0.5,1.5,6.0
cofagrigus,17,765,169.0,1.7,76.5,26.47058823529412
tirtouga,7,165,71.0,0.7,16.5,33.673469387755105
carracosta,12,810,173.0,1.2,81.0,56.25
archen,5,95,71.0,0.5,9.5,38.0
archeops,14,320,177.0,1.4,32.0,16.326530612244902
trubbish,6,310,66.0,0.6,31.0,86.11111111111111
garbodor,19,1073,166.0,1.9,107.3,29.722991689750693
zorua,7,125,66.0,0.7,12.5,25.510204081632658
zoroark,16,811,179.0,1.6,81.1,31.679687499999993
minccino,4,58,60.0,0.4,5.8,36.24999999999999
cinccino,5,75,165.0,0.5,7.5,30.0
gothita,4,58,58.0,0.4,5.8,36.24999999999999
gothorita,7,180,137.0,0.7,18.0,36.734693877551024
gothitelle,15,440,221.0,1.5,44.0,19.555555555555557
solosis,3,10,58.0,0.3,1.0,11.11111111111111
duosion,6,80,130.0,0.6,8.0,22.22222222222222
reuniclus,10,201,221.0,1.0,20.1,20.1
ducklett,5,55,61.0,0.5,5.5,22.0
swanna,13,242,166.0,1.3,24.2,14.319526627218933
vanillite,4,57,61.0,0.4,5.7,35.62499999999999
vanillish,11,410,138.0,1.1,41.0,33.88429752066115
vanilluxe,13,575,241.0,1.3,57.5,34.02366863905325
deerling,6,195,67.0,0.6,19.5,54.16666666666667
sawsbuck,19,925,166.0,1.9,92.5,25.623268698060944
emolga,4,50,150.0,0.4,5.0,31.249999999999993
karrablast,5,59,63.0,0.5,5.9,23.6
escavalier,10,330,173.0,1.0,33.0,33.0
foongus,2,10,59.0,0.2,1.0,24.999999999999996
amoonguss,6,105,162.0,0.6,10.5,29.166666666666668
frillish,12,330,67.0,1.2,33.0,22.916666666666668
jellicent,22,1350,168.0,2.2,135.0,27.89256198347107
alomomola,12,316,165.0,1.2,31.6,21.944444444444446
joltik,1,6,64.0,0.1,0.6,59.999999999999986
galvantula,8,143,165.0,0.8,14.3,22.343749999999996
ferroseed,6,188,61.0,0.6,18.8,52.22222222222223
ferrothorn,10,1100,171.0,1.0,110.0,110.0
klink,3,210,60.0,0.3,21.0,233.33333333333334
klang,6,510,154.0,0.6,51.0,141.66666666666669
klinklang,6,810,234.0,0.6,81.0,225.0
tynamo,2,3,55.0,0.2,0.3,7.499999999999998
eelektrik,12,220,142.0,1.2,22.0,15.277777777777779
eelektross,21,805,232.0,2.1,80.5,18.253968253968253
elgyem,5,90,67.0,0.5,9.0,36.0
beheeyem,10,345,170.0,1.0,34.5,34.5
litwick,3,31,55.0,0.3,3.1,34.44444444444445
lampent,6,130,130.0,0.6,13.0,36.111111111111114
chandelure,10,343,234.0,1.0,34.3,34.3
axew,6,180,64.0,0.6,18.0,50.0
fraxure,10,360,144.0,1.0,36.0,36.0
haxorus,18,1055,243.0,1.8,105.5,32.56172839506173
cubchoo,5,85,61.0,0.5,8.5,34.0
beartic,26,2600,177.0,2.6,260.0,38.46153846153846
cryogonal,11,1480,180.0,1.1,148.0,122.31404958677685
shelmet,4,77,61.0,0.4,7.7,48.12499999999999
accelgor,8,253,173.0,0.8,25.3,39.53124999999999
stunfisk,7,110,165.0,0.7,11.0,22.44897959183674
mienfoo,9,200,70.0,0.9,20.0,24.691358024691358
mienshao,14,355,179.0,1.4,35.5,18.112244897959187
druddigon,16,1390,170.0,1.6,139.0,54.29687499999999
golett,10,920,61.0,1.0,92.0,92.0
golurk,28,3300,169.0,2.8,330.0,42.091836734693885
pawniard,5,102,68.0,0.5,10.2,40.8
bisharp,16,700,172.0,1.6,70.0,27.343749999999996
bouffalant,16,946,172.0,1.6,94.6,36.95312499999999
rufflet,5,105,70.0,0.5,10.5,42.0
braviary,15,410,179.0,1.5,41.0,18.22222222222222
vullaby,5,90,74.0,0.5,9.0,36.0
mandibuzz,12,395,179.0,1.2,39.5,27.430555555555557
heatmor,14,580,169.0,1.4,58.0,29.59183673469388
durant,3,330,169.0,0.3,33.0,366.6666666666667
deino,8,173,60.0,0.8,17.3,27.031249999999996
zweilous,14,500,147.0,1.4,50.0,25.510204081632658
hydreigon,18,1600,270.0,1.8,160.0,49.382716049382715
larvesta,11,288,72.0,1.1,28.8,23.80165289256198
volcarona,16,460,248.0,1.6,46.0,17.968749999999996
cobalion,21,2500,261.0,2.1,250.0,56.68934240362812
terrakion,19,2600,261.0,1.9,260.0,72.02216066481995
virizion,20,2000,261.0,2.0,200.0,50.0
tornadus-incarnate,15,630,261.0,1.5,63.0,28.0
thundurus-incarnate,15,610,261.0,1.5,61.0,27.11111111111111
reshiram,32,3300,306.0,3.2,330.0,32.22656249999999
zekrom,29,3450,306.0,2.9,345.0,41.02259215219976
landorus-incarnate,15,680,270.0,1.5,68.0,30.22222222222222
kyurem,30,3250,297.0,3.0,325.0,36.111111111111114
keldeo-ordinary,14,485,261.0,1.4,48.5,24.744897959183678
meloetta-aria,6,65,270.0,0.6,6.5,18.055555555555557
genesect,15,825,270.0,1.5,82.5,36.666666666666664
chespin,4,90,63.0,0.4,9.0,56.249999999999986
quilladin,7,290,142.0,0.7,29.0,59.18367346938776
chesnaught,16,900,239.0,1.6,90.0,35.15624999999999
fennekin,4,94,61.0,0.4,9.4,58.74999999999999
braixen,10,145,143.0,1.0,14.5,14.5
delphox,15,390,240.0,1.5,39.0,17.333333333333332
froakie,3,70,63.0,0.3,7.0,77.77777777777779
frogadier,6,109,142.0,0.6,10.9,30.27777777777778
greninja,15,400,239.0,1.5,40.0,17.77777777777778
bunnelby,4,50,47.0,0.4,5.0,31.249999999999993
diggersby,10,424,148.0,1.0,42.4,42.4
fletchling,3,17,56.0,0.3,1.7,18.88888888888889
fletchinder,7,160,134.0,0.7,16.0,32.653061224489804
talonflame,12,245,175.0,1.2,24.5,17.01388888888889
scatterbug,3,25,40.0,0.3,2.5,27.77777777777778
spewpa,3,84,75.0,0.3,8.4,93.33333333333334
vivillon,12,170,185.0,1.2,17.0,11.805555555555555
litleo,6,135,74.0,0.6,13.5,37.5
pyroar,15,815,177.0,1.5,81.5,36.22222222222222
flabebe,1,1,61.0,0.1,0.1,9.999999999999998
floette,2,9,130.0,0.2,0.9,22.499999999999996
florges,11,100,248.0,1.1,10.0,8.264462809917354
skiddo,9,310,70.0,0.9,31.0,38.2716049382716
gogoat,17,910,186.0,1.7,91.0,31.487889273356405
pancham,6,80,70.0,0.6,8.0,22.22222222222222
pangoro,21,1360,173.0,2.1,136.0,30.839002267573694
furfrou,12,280,165.0,1.2,28.0,19.444444444444446
espurr,3,35,71.0,0.3,3.5,38.88888888888889
meowstic-male,6,85,163.0,0.6,8.5,23.61111111111111
honedge,8,20,65.0,0.8,2.0,3.1249999999999996
doublade,8,45,157.0,0.8,4.5,7.031249999999998
aegislash-shield,17,530,234.0,1.7,53.0,18.339100346020764
spritzee,2,5,68.0,0.2,0.5,12.499999999999998
aromatisse,8,155,162.0,0.8,15.5,24.218749999999996
swirlix,4,35,68.0,0.4,3.5,21.874999999999996
slurpuff,8,50,168.0,0.8,5.0,7.812499999999998
inkay,4,35,58.0,0.4,3.5,21.874999999999996
malamar,15,470,169.0,1.5,47.0,20.88888888888889
binacle,5,310,61.0,0.5,31.0,124.0
barbaracle,13,960,175.0,1.3,96.0,56.80473372781064
skrelp,5,73,64.0,0.5,7.3,29.2
dragalge,18,815,173.0,1.8,81.5,25.15432098765432
clauncher,5,83,66.0,0.5,8.3,33.2
clawitzer,13,353,100.0,1.3,35.3,20.887573964497037
helioptile,5,60,58.0,0.5,6.0,24.0
heliolisk,10,210,168.0,1.0,21.0,21.0
tyrunt,8,260,72.0,0.8,26.0,40.62499999999999
tyrantrum,25,2700,182.0,2.5,270.0,43.2
amaura,13,252,72.0,1.3,25.2,14.911242603550294
aurorus,27,2250,104.0,2.7,225.0,30.864197530864192
sylveon,10,235,184.0,1.0,23.5,23.5
hawlucha,8,215,175.0,0.8,21.5,33.59374999999999
dedenne,2,22,151.0,0.2,2.2,54.99999999999999
carbink,3,57,100.0,0.3,5.7,63.333333333333336
goomy,3,28,60.0,0.3,2.8,31.11111111111111
sliggoo,8,175,158.0,0.8,17.5,27.343749999999996
goodra,20,1505,270.0,2.0,150.5,37.625
klefki,2,30,165.0,0.2,3.0,74.99999999999999
phantump,4,70,62.0,0.4,7.0,43.74999999999999
trevenant,15,710,166.0,1.5,71.0,31.555555555555557
pumpkaboo-average,4,50,67.0,0.4,5.0,31.249999999999993
gourgeist-average,9,125,173.0,0.9,12.5,15.432098765432098
bergmite,10,995,61.0,1.0,99.5,99.5
avalugg,20,5050,180.0,2.0,505.0,126.25
noibat,5,80,49.0,0.5,8.0,32.0
noivern,15,850,187.0,1.5,85.0,37.77777777777778
xerneas,30,2150,306.0,3.0,215.0,23.88888888888889
yveltal,58,2030,306.0,5.8,203.0,6.0344827586206895
zygarde-50,50,3050,270.0,5.0,305.0,12.2
diancie,7,88,270.0,0.7,8.8,17.95918367346939
hoopa,5,90,270.0,0.5,9.0,36.0
volcanion,17,1950,270.0,1.7,195.0,67.47404844290658
rowlet,3,15,64.0,0.3,1.5,16.666666666666668
dartrix,7,160,147.0,0.7,16.0,32.653061224489804
decidueye,16,366,239.0,1.6,36.6,14.296874999999998
litten,4,43,64.0,0.4,4.3,26.874999999999993
torracat,7,250,147.0,0.7,25.0,51.020408163265316
incineroar,18,830,239.0,1.8,83.0,25.61728395061728
popplio,4,75,64.0,0.4,7.5,46.87499999999999
brionne,6,175,147.0,0.6,17.5,48.611111111111114
primarina,18,440,239.0,1.8,44.0,13.580246913580247
pikipek,3,12,53.0,0.3,1.2,13.333333333333334
trumbeak,6,148,124.0,0.6,14.8,41.111111111111114
toucannon,11,260,218.0,1.1,26.0,21.48760330578512
yungoos,4,60,51.0,0.4,6.0,37.49999999999999
gumshoos,7,142,146.0,0.7,14.2,28.979591836734695
grubbin,4,44,60.0,0.4,4.4,27.499999999999996
charjabug,5,105,140.0,0.5,10.5,42.0
vikavolt,15,450,225.0,1.5,45.0,20.0
crabrawler,6,70,68.0,0.6,7.0,19.444444444444446
crabominable,17,1800,167.0,1.7,180.0,62.28373702422146
oricorio-baile,6,34,167.0,0.6,3.4,9.444444444444445
cutiefly,1,2,61.0,0.1,0.2,19.999999999999996
ribombee,2,5,162.0,0.2,0.5,12.499999999999998
rockruff,5,92,56.0,0.5,9.2,36.8
lycanroc-midday,8,250,170.0,0.8,25.0,39.06249999999999
wishiwashi-solo,2,3,61.0,0.2,0.3,7.499999999999998
mareanie,4,80,61.0,0.4,8.0,49.99999999999999
toxapex,7,145,173.0,0.7,14.5,29.59183673469388
mudbray,10,1100,77.0,1.0,110.0,110.0
mudsdale,25,9200,175.0,2.5,920.0,147.2
dewpider,3,40,54.0,0.3,4.0,44.44444444444444
araquanid,18,820,159.0,1.8,82.0,25.30864197530864
fomantis,3,15,50.0,0.3,1.5,16.666666666666668
lurantis,9,185,168.0,0.9,18.5,22.839506172839506
morelull,2,15,57.0,0.2,1.5,37.49999999999999
shiinotic,10,115,142.0,1.0,11.5,11.5
salandit,6,48,64.0,0.6,4.8,13.333333333333334
salazzle,12,222,168.0,1.2,22.2,15.416666666666666
stufful,5,68,68.0,0.5,6.8,27.2
bewear,21,1350,175.0,2.1,135.0,30.612244897959183
bounsweet,3,32,42.0,0.3,3.2,35.55555555555556
steenee,7,82,102.0,0.7,8.2,16.73469387755102
tsareena,12,214,230.0,1.2,21.4,14.86111111111111
comfey,1,3,170.0,0.1,0.3,29.999999999999993
oranguru,15,760,172.0,1.5,76.0,33.77777777777778
passimian,20,828,172.0,2.0,82.8,20.7
wimpod,5,120,46.0,0.5,12.0,48.0
golisopod,20,1080,186.0,2.0,108.0,27.0
sandygast,5,700,64.0,0.5,70.0,280.0
palossand,13,2500,168.0,1.3,250.0,147.92899408284023
pyukumuku,3,12,144.0,0.3,1.2,13.333333333333334
type-null,19,1205,107.0,1.9,120.5,33.37950138504155
silvally,23,1005,257.0,2.3,100.5,18.99810964083176
minior-red-meteor,3,400,154.0,0.3,40.0,444.44444444444446
komala,4,199,168.0,0.4,19.9,124.37499999999997
turtonator,20,2120,170.0,2.0,212.0,53.0
togedemaru,3,33,152.0,0.3,3.3,36.666666666666664
mimikyu-disguised,2,7,167.0,0.2,0.7,17.499999999999996
bruxish,9,190,166.0,0.9,19.0,23.456790123456788
drampa,30,1850,170.0,3.0,185.0,20.555555555555557
dhelmise,39,2100,181.0,3.9,210.0,13.806706114398423
jangmo-o,6,297,60.0,0.6,29.7,82.5
hakamo-o,12,470,147.0,1.2,47.0,32.63888888888889
kommo-o,16,782,270.0,1.6,78.2,30.546874999999996
tapu-koko,18,205,257.0,1.8,20.5,6.32716049382716
tapu-lele,12,186,257.0,1.2,18.6,12.916666666666668
tapu-bulu,19,455,257.0,1.9,45.5,12.603878116343491
tapu-fini,13,212,257.0,1.3,21.2,12.54437869822485
cosmog,2,1,40.0,0.2,0.1,2.4999999999999996
cosmoem,1,9999,140.0,0.1,999.9,99989.99999999999
solgaleo,34,2300,306.0,3.4,230.0,19.8961937716263
lunala,40,1200,306.0,4.0,120.0,7.5
nihilego,12,555,257.0,1.2,55.5,38.54166666666667
buzzwole,24,3336,257.0,2.4,333.6,57.91666666666667
pheromosa,18,250,257.0,1.8,25.0,7.716049382716049
xurkitree,38,1000,257.0,3.8,100.0,6.9252077562326875
celesteela,92,9999,257.0,9.2,999.9,11.813563327032139
kartana,3,1,257.0,0.3,0.1,1.1111111111111112
guzzlord,55,8880,257.0,5.5,888.0,29.355371900826448
necrozma,24,2300,270.0,2.4,230.0,39.93055555555556
magearna,10,805,270.0,1.0,80.5,80.5
marshadow,7,222,270.0,0.7,22.2,45.30612244897959
poipole,6,18,189.0,0.6,1.8,5.0
naganadel,36,1500,243.0,3.6,150.0,11.574074074074073
stakataka,55,8200,257.0,5.5,820.0,27.107438016528924
blacephalon,18,130,257.0,1.8,13.0,4.012345679012346
zeraora,15,445,270.0,1.5,44.5,19.77777777777778
meltan,2,80,135.0,0.2,8.0,199.99999999999997
melmetal,25,8000,270.0,2.5,800.0,128.0
grookey,3,50,62.0,0.3,5.0,55.55555555555556
thwackey,7,140,147.0,0.7,14.0,28.571428571428577
rillaboom,21,900,265.0,2.1,90.0,20.408163265306122
scorbunny,3,45,62.0,0.3,4.5,50.0
raboot,6,90,147.0,0.6,9.0,25.0
cinderace,14,330,265.0,1.4,33.0,16.836734693877553
sobble,3,40,62.0,0.3,4.0,44.44444444444444
drizzile,7,115,147.0,0.7,11.5,23.469387755102044
inteleon,19,452,265.0,1.9,45.2,12.5207756232687
skwovet,3,25,55.0,0.3,2.5,27.77777777777778
greedent,6,60,161.0,0.6,6.0,16.666666666666668
rookidee,2,18,49.0,0.2,1.8,44.99999999999999
corvisquire,8,160,128.0,0.8,16.0,24.999999999999996
corviknight,22,750,248.0,2.2,75.0,15.495867768595039
blipbug,4,80,36.0,0.4,8.0,49.99999999999999
dottler,4,195,117.0,0.4,19.5,121.87499999999997
orbeetle,4,408,253.0,0.4,40.8,254.99999999999994
nickit,6,89,49.0,0.6,8.9,24.722222222222225
thievul,12,199,159.0,1.2,19.9,13.819444444444445
gossifleur,4,22,50.0,0.4,2.2,13.749999999999998
eldegoss,5,25,161.0,0.5,2.5,10.0
wooloo,6,60,122.0,0.6,6.0,16.666666666666668
dubwool,13,430,172.0,1.3,43.0,25.44378698224852
chewtle,3,85,57.0,0.3,8.5,94.44444444444444
drednaw,10,1155,170.0,1.0,115.5,115.5
yamper,3,135,54.0,0.3,13.5,150.0
boltund,10,340,172.0,1.0,34.0,34.0
rolycoly,3,120,48.0,0.3,12.0,133.33333333333334
carkol,11,780,144.0,1.1,78.0,64.46280991735536
coalossal,28,3105,255.0,2.8,310.5,39.6045918367347
applin,2,5,52.0,0.2,0.5,12.499999999999998
flapple,3,10,170.0,0.3,1.0,11.11111111111111
appletun,4,130,170.0,0.4,13.0,81.24999999999999
silicobra,22,76,63.0,2.2,7.6,1.5702479338842972
sandaconda,38,655,179.0,3.8,65.5,4.53601108033241
cramorant,8,180,166.0,0.8,18.0,28.124999999999993
arrokuda,5,10,56.0,0.5,1.0,4.0
barraskewda,13,300,172.0,1.3,30.0,17.751479289940825
toxel,4,110,48.0,0.4,11.0,68.74999999999999
toxtricity-amped,16,400,176.0,1.6,40.0,15.624999999999996
sizzlipede,7,10,61.0,0.7,1.0,2.0408163265306127
centiskorch,30,1200,184.0,3.0,120.0,13.333333333333334
clobbopus,6,40,62.0,0.6,4.0,11.11111111111111
grapploct,16,390,168.0,1.6,39.0,15.234374999999996
sinistea,1,2,62.0,0.1,0.2,19.999999999999996
polteageist,2,4,178.0,0.2,0.4,9.999999999999998
hatenna,4,34,53.0,0.4,3.4,21.249999999999996
hattrem,6,48,130.0,0.6,4.8,13.333333333333334
hatterene,21,51,255.0,2.1,5.1,1.1564625850340136
impidimp,4,55,53.0,0.4,5.5,34.37499999999999
morgrem,8,125,130.0,0.8,12.5,19.531249999999996
grimmsnarl,15,610,255.0,1.5,61.0,27.11111111111111
obstagoon,16,460,260.0,1.6,46.0,17.968749999999996
perrserker,8,280,154.0,0.8,28.0,43.74999999999999
cursola,10,4,179.0,1.0,0.4,0.4
sirfetchd,8,1170,177.0,0.8,117.0,182.81249999999997
mr-rime,15,582,182.0,1.5,58.2,25.866666666666667
runerigus,16,666,169.0,1.6,66.6,26.015624999999993
milcery,2,3,54.0,0.2,0.3,7.499999999999998
alcremie,3,5,173.0,0.3,0.5,5.555555555555555
falinks,30,620,165.0,3.0,62.0,6.888888888888889
pincurchin,3,10,152.0,0.3,1.0,11.11111111111111
snom,3,38,37.0,0.3,3.8,42.22222222222222
frosmoth,13,420,166.0,1.3,42.0,24.852071005917157
stonjourner,25,5200,165.0,2.5,520.0,83.2
eiscue-ice,14,890,165.0,1.4,89.0,45.40816326530613
indeedee-male,9,280,166.0,0.9,28.0,34.5679012345679
morpeko-full-belly,3,30,153.0,0.3,3.0,33.333333333333336
cufant,12,1000,66.0,1.2,100.0,69.44444444444444
copperajah,30,6500,175.0,3.0,650.0,72.22222222222223
dracozolt,18,1900,177.0,1.8,190.0,58.641975308641975
arctozolt,23,1500,177.0,2.3,150.0,28.355387523629496
dracovish,23,2150,177.0,2.3,215.0,40.642722117202275
arctovish,20,1750,177.0,2.0,175.0,43.75
duraludon,18,400,187.0,1.8,40.0,12.345679012345679
dreepy,5,20,54.0,0.5,2.0,8.0
drakloak,14,110,144.0,1.4,11.0,5.612244897959185
dragapult,30,500,300.0,3.0,50.0,5.555555555555555
zacian,28,1100,335.0,2.8,110.0,14.030612244897961
zamazenta,29,2100,335.0,2.9,210.0,24.970273483947683
eternatus,200,9500,345.0,20.0,950.0,2.375
kubfu,6,120,77.0,0.6,12.0,33.333333333333336
urshifu-single-strike,19,1050,275.0,1.9,105.0,29.085872576177287
zarude,18,700,300.0,1.8,70.0,21.604938271604937
regieleki,12,1450,290.0,1.2,145.0,100.69444444444444
regidrago,21,2000,290.0,2.1,200.0,45.35147392290249
glastrier,22,8000,290.0,2.2,800.0,165.2892561983471
spectrier,20,445,290.0,2.0,44.5,11.125
calyrex,11,77,250.0,1.1,7.7,6.363636363636362
wyrdeer,18,951,263.0,1.8,95.1,29.351851851851848
kleavor,18,890,175.0,1.8,89.0,27.469135802469133
ursaluna,24,2900,275.0,2.4,290.0,50.34722222222222
basculegion-male,30,1100,265.0,3.0,110.0,12.222222222222221
sneasler,13,430,102.0,1.3,43.0,25.44378698224852
overqwil,25,605,179.0,2.5,60.5,9.68
enamorus-incarnate,16,480,116.0,1.6,48.0,18.749999999999996
sprigatito,4,41,62.0,0.4,4.1,25.624999999999993
floragato,9,122,144.0,0.9,12.2,15.061728395061726
meowscarada,15,312,265.0,1.5,31.2,13.866666666666667
fuecoco,4,98,62.0,0.4,9.8,61.24999999999999
crocalor,10,307,144.0,1.0,30.7,30.7
skeledirge,16,3265,265.0,1.6,326.5,127.53906249999997
quaxly,5,61,62.0,0.5,6.1,24.4
quaxwell,12,215,144.0,1.2,21.5,14.930555555555555
quaquaval,18,619,265.0,1.8,61.9,19.104938271604937
lechonk,5,102,51.0,0.5,10.2,40.8
oinkologne-male,10,1200,171.0,1.0,120.0,120.0
tarountula,3,40,42.0,0.3,4.0,44.44444444444444
spidops,10,165,141.0,1.0,16.5,16.5
nymble,2,10,42.0,0.2,1.0,24.999999999999996
lokix,10,175,158.0,1.0,17.5,17.5
pawmi,3,25,48.0,0.3,2.5,27.77777777777778
pawmo,4,65,123.0,0.4,6.5,40.62499999999999
pawmot,9,410,245.0,0.9,41.0,50.61728395061728
tandemaus,3,18,61.0,0.3,1.8,20.0
maushold-family-of-four,3,23,165.0,0.3,2.3,25.555555555555554
fidough,3,109,62.0,0.3,10.9,121.11111111111111
dachsbun,5,149,167.0,0.5,14.9,59.6
smoliv,3,65,52.0,0.3,6.5,72.22222222222223
dolliv,6,119,124.0,0.6,11.9,33.05555555555556
arboliva,14,482,255.0,1.4,48.2,24.59183673469388
squawkabilly-green-plumage,6,24,146.0,0.6,2.4,6.666666666666667
nacli,4,160,56.0,0.4,16.0,99.99999999999999
naclstack,6,1050,124.0,0.6,105.0,291.6666666666667
garganacl,23,2400,250.0,2.3,240.0,45.36862003780719
charcadet,6,105,51.0,0.6,10.5,29.166666666666668
armarouge,15,850,263.0,1.5,85.0,37.77777777777778
ceruledge,16,620,263.0,1.6,62.0,24.218749999999996
tadbulb,3,4,54.0,0.3,0.4,4.444444444444445
bellibolt,12,1130,173.0,1.2,113.0,78.47222222222223
wattrel,4,36,56.0,0.4,3.6,22.499999999999996
kilowattrel,14,386,172.0,1.4,38.6,19.69387755102041
maschiff,5,160,68.0,0.5,16.0,64.0
mabosstiff,11,610,177.0,1.1,61.0,50.41322314049586
shroodle,2,7,58.0,0.2,0.7,17.499999999999996
grafaiai,7,272,170.0,0.7,27.2,55.51020408163266
bramblin,6,6,55.0,0.6,0.6,1.6666666666666667
brambleghast,12,60,168.0,1.2,6.0,4.166666666666667
toedscool,9,330,67.0,0.9,33.0,40.74074074074074
toedscruel,19,580,180.0,1.9,58.0,16.066481994459835
klawf,13,790,158.0,1.3,79.0,46.74556213017751
capsakid,3,30,61.0,0.3,3.0,33.333333333333336
scovillain,9,150,170.0,0.9,15.0,18.51851851851852
rellor,2,10,54.0,0.2,1.0,24.999999999999996
rabsca,3,35,165.0,0.3,3.5,38.88888888888889
flittle,2,15,51.0,0.2,1.5,37.49999999999999
espathra,19,900,168.0,1.9,90.0,24.930747922437675
tinkatink,4,89,59.0,0.4,8.9,55.62499999999999
tinkatuff,7,591,133.0,0.7,59.1,120.6122448979592
tinkaton,7,1128,253.0,0.7,112.8,230.20408163265307
wiglett,12,18,49.0,1.2,1.8,1.25
wugtrio,12,54,149.0,1.2,5.4,3.7500000000000004
bombirdier,15,429,243.0,1.5,42.9,19.066666666666666
finizen,13,602,63.0,1.3,60.2,35.62130177514793
palafin-zero,13,602,160.0,1.3,60.2,35.62130177514793
varoom,10,350,60.0,1.0,35.0,35.0
revavroom,18,1200,175.0,1.8,120.0,37.03703703703704
cyclizar,16,630,175.0,1.6,63.0,24.609374999999996
orthworm,25,3100,240.0,2.5,310.0,49.6
glimmet,7,80,70.0,0.7,8.0,16.326530612244902
glimmora,15,450,184.0,1.5,45.0,20.0
greavard,6,350,58.0,0.6,35.0,97.22222222222223
houndstone,20,150,171.0,2.0,15.0,3.75
flamigo,16,370,175.0,1.6,37.0,14.453124999999996
cetoddle,12,450,67.0,1.2,45.0,31.25
cetitan,45,7000,182.0,4.5,700.0,34.5679012345679
veluza,25,900,167.0,2.5,90.0,14.4
dondozo,120,2200,265.0,12.0,220.0,1.5277777777777777
tatsugiri-curly,3,80,166.0,0.3,8.0,88.88888888888889
annihilape,12,560,268.0,1.2,56.0,38.88888888888889
clodsire,18,2230,151.0,1.8,223.0,68.82716049382715
farigiraf,32,1600,260.0,3.2,160.0,15.624999999999996
dudunsparce-two-segment,36,392,182.0,3.6,39.2,3.0246913580246915
kingambit,20,1200,275.0,2.0,120.0,30.0
great-tusk,22,3200,285.0,2.2,320.0,66.11570247933884
scream-tail,12,80,285.0,1.2,8.0,5.555555555555555
brute-bonnet,12,210,285.0,1.2,21.0,14.583333333333334
flutter-mane,14,40,285.0,1.4,4.0,2.0408163265306127
